"","participant","cond","competence","ambition","project","independent","self_reliant","decisive","analytic","logical","objective","confident","dominant","forceful","obedient","respectful","self_erase","warm","friendly","cooperative","sharp","intuitive","insightful","friendly2","caring","considerate","foreign_me","education_me","health_me","law_me","foreign_dk","education_dk","health_dk","law_dk","sociability","trustworthy","vote","gender_suitability","gender_recall","gender_correct","gender","age","education","achievement_orientation","autonomy","take_charge","rational","affiliative","deference","emotionally_sensitive","concern_for_others","male_stereotype","female_stereotype","experiment"
"1",1,"Competent female candidate",6,6,4,6,6,6,4,4,4,6,5,5,4,4,2,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,16,16,4,4,"Kvinde",1,"Female","30-39","Kort/ Mellemlang",5.33333333333333,6,5.33333333333333,4,4.66666666666667,3.33333333333333,4.66666666666667,4.33333333333333,5.16666666666667,4.25,2
"2",2,"Warm female candidate",5,6,3,4,4,5,4,4,4,6,4,4,2,3,1,3,4,4,3,2,4,3,3,3,1,2,2,2,1,2,1,5,15,18,4,4,"Kvinde",1,"Female","30-39","Kort/ Mellemlang",4.66666666666667,4.33333333333333,4.66666666666667,4,3.66666666666667,2,3,3,4.41666666666667,3,2
"3",3,"Standard female candidate",5,6,4,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,19,20,5,6,"Kvinde",1,"Male","40-49","Kort/ Mellemlang",5,5,4.33333333333333,4.33333333333333,5,4.66666666666667,5,4.33333333333333,4.66666666666667,4.83333333333333,1
"4",4,"Standard male candidate",4,5,4,4,5,4,4,4,4,3,2,4,3,5,2,6,5,5,3,4,4,5,5,5,3,3,4,2,2,5,5,1,21,19,4,4,"Mand",1,"Male","40-49","Kort/ Mellemlang",4.33333333333333,4.33333333333333,3,4,5.33333333333333,3.33333333333333,3.66666666666667,5,3.91666666666667,4.33333333333333,1
"5",5,"Competent female candidate",3,6,3,5,6,6,2,2,2,5,6,3,4,4,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,4,4,4,9,18,2,6,"Kvinde",1,"Male","30-39","Kort/ Mellemlang",4,5.66666666666667,4.66666666666667,2,2,3.33333333333333,4,2,4.08333333333333,2.83333333333333,2
"7",7,"Standard female candidate",5,6,6,4,4,4,4,4,4,5,4,4,5,5,3,4,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,3,17,16,4,5,"Kvinde",1,"Male","40-49","Kort/ Mellemlang",5.66666666666667,4,4.33333333333333,4,4,4.33333333333333,4,4,4.5,4.08333333333333,1
"8",8,"Standard male candidate",5,5,5,5,5,6,4,5,5,5,3,4,4,5,2,4,5,5,3,3,4,5,5,5,2,3,4,4,2,4,4,3,21,16,4,5,"Mand",1,"Male","18-29","Grundskole/ Gymnasium",5,5.33333333333333,4,4.66666666666667,4.66666666666667,3.66666666666667,3.33333333333333,5,4.75,4.16666666666667,1
"9",9,"Warm female candidate",4,5,3,5,5,6,6,4,3,6,6,6,4,4,2,5,5,4,5,5,4,6,4,3,4,4,4,4,4,4,4,4,21,15,4,4,"Kvinde",1,"Female","18-29","Kort/ Mellemlang",4,5.33333333333333,6,4.33333333333333,4.66666666666667,3.33333333333333,4.66666666666667,4.33333333333333,4.91666666666667,4.16666666666667,2
"11",11,"Standard male candidate",4,5,4,6,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,16,16,4,4,"Mand",1,"Male","50-59","Lang",4.33333333333333,5,4,4,4,4.33333333333333,4,4,4.33333333333333,4.08333333333333,1
"12",12,"Warm female candidate",4,4,4,6,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,4,4,"Kvinde",1,"Female","18-29","Grundskole/ Gymnasium",4,5.33333333333333,4,4,4,5,4,4,4.33333333333333,4.25,2
"13",13,"Standard male candidate",6,5,5,6,6,6,4,4,4,4,4,4,2,6,2,4,4,4,4,4,4,4,4,4,6,2,2,6,6,2,2,6,16,16,4,4,"Mand",1,"Female","50-59","Kort/ Mellemlang",5.33333333333333,6,4,4,4,3.33333333333333,4,4,4.83333333333333,3.83333333333333,1
"14",14,"Standard female candidate",6,7,5,5,3,5,4,4,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,4,4,17,17,3,4,"Kvinde",1,"Female","60+","Kort/ Mellemlang",6,4.33333333333333,4.33333333333333,4,4,3.33333333333333,4,4,4.66666666666667,3.83333333333333,1
"15",15,"Warm female candidate",6,7,5,6,6,6,5,4,3,4,3,4,4,6,1,7,7,7,4,4,4,7,7,7,3,6,7,2,3,6,6,2,24,23,5,5,"Kvinde",1,"Female","18-29","Grundskole/ Gymnasium",6,6,3.66666666666667,4,7,3.66666666666667,4,7,4.91666666666667,5.41666666666667,2
"16",16,"Competent female candidate",7,7,7,7,7,7,4,4,4,4,5,6,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,6,2,2,2,6,16,16,3,5,"Kvinde",1,"Female","18-29","Grundskole/ Gymnasium",7,7,5,4,4,3.33333333333333,4,4,5.75,3.83333333333333,2
"18",18,"Competent female candidate",6,6,5,5,5,6,4,4,4,6,6,6,4,4,1,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,4,4,"Kvinde",1,"Male","50-59","Grundskole/ Gymnasium",5.66666666666667,5.33333333333333,6,4,4.66666666666667,3,4,4,5.25,3.91666666666667,2
"19",19,"Standard male candidate",2,2,2,6,6,6,6,6,6,6,4,4,3,6,5,6,6,6,4,3,5,6,5,6,6,7,6,6,6,5,6,7,15,20,6,5,"Mand",1,"Female","18-29","Grundskole/ Gymnasium",2,6,4.66666666666667,6,6,4.66666666666667,4,5.66666666666667,4.66666666666667,5.08333333333333,1
"20",20,"Standard female candidate",6,6,6,5,5,5,6,6,6,5,3,5,6,6,5,4,5,4,6,4,5,4,5,5,4,5,5,6,4,5,5,6,20,26,6,5,"Kvinde",1,"Male","40-49","Kort/ Mellemlang",6,5,4.33333333333333,6,4.33333333333333,5.66666666666667,5,4.66666666666667,5.33333333333333,5,1
"22",22,"Standard female candidate",6,6,5,4,5,4,6,6,3,4,3,3,5,6,2,6,6,6,4,4,4,5,5,5,6,6,6,6,3,4,4,4,19,16,5,6,"Kvinde",1,"Male","18-29","Grundskole/ Gymnasium",5.66666666666667,4.33333333333333,3.33333333333333,5,6,4.33333333333333,4,5,4.58333333333333,4.91666666666667,1
